Trap Freq [MHz],Trap Power [V],Loading time [s],Repump Freq [MHz],Repump Power [V],Blue 1 write Power [V],Blue 1 write Freq [MHz],Blue 1 write duration [s],Storage time [s],Blue 1 read Power [V],Blue 1 read Freq [MHz],Blue 1 read duration [s],Probe Power [V],Probe Freq [MHz],Probe duration [s],Probe FWHM [s],Buffer time [s],Interrogation time [s]
124,0.95,0.25,250,1,1,100,1.00E-06,5.00E-07,0.8,200,5.00E-07,1.00E+00,2.50E+02,1.00E-06,3.00E-07,1.00E-06,2.00E-01
123.5,0.95,0.25,250,1,1,100,1.00E-06,3.00E-06,0.8,200,5.00E-07,1.00E+00,2.50E+02,1.00E-06,3.00E-07,1.00E-06,2.00E-01
123,0.95,0.25,250,1,1,100,1.00E-06,3.00E-06,0.8,200,5.00E-07,1.00E+00,2.50E+02,1.00E-06,3.00E-07,1.00E-06,2.00E-01
122.5,0.95,0.25,250,1,1,100,1.00E-06,3.00E-06,0.8,200,5.00E-07,1.00E+00,2.50E+02,1.00E-06,3.00E-07,1.00E-06,2.00E-01
122,0.95,0.25,250,1,1,100,1.00E-06,3.00E-06,0.8,200,5.00E-07,1.00E+00,2.50E+02,1.00E-06,3.00E-07,1.00E-06,2.00E-01
121.5,0.95,0.25,250,1,1,100,1.00E-06,3.00E-06,0.8,200,5.00E-07,1.00E+00,2.50E+02,1.00E-06,3.00E-07,1.00E-06,2.00E-01
121,0.95,0.25,250,1,1,100,1.00E-06,3.00E-06,0.8,200,5.00E-07,1.00E+00,2.50E+02,1.00E-06,3.00E-07,1.00E-06,2.00E-01
120.5,0.95,0.25,250,1,1,100,1.00E-06,3.00E-06,0.8,200,5.00E-07,1.00E+00,2.50E+02,1.00E-06,3.00E-07,1.00E-06,2.00E-01
120,0.95,0.25,250,1,1,100,1.00E-06,3.00E-06,0.8,200,5.00E-07,1.00E+00,2.50E+02,1.00E-06,3.00E-07,1.00E-06,2.00E-01
119.5,0.95,0.25,250,1,1,100,1.00E-06,3.00E-06,0.8,200,5.00E-07,1.00E+00,2.50E+02,1.00E-06,3.00E-07,1.00E-06,2.00E-01
119,0.95,0.25,250,1,1,100,1.00E-06,3.00E-06,0.8,200,5.00E-07,1.00E+00,2.50E+02,1.00E-06,3.00E-07,1.00E-06,2.00E-01
118.5,0.95,0.25,250,1,1,100,1.00E-06,3.00E-06,0.8,200,5.00E-07,1.00E+00,2.50E+02,1.00E-06,3.00E-07,1.00E-06,2.00E-01
118,0.95,0.25,250,1,1,100,1.00E-06,3.00E-06,0.8,200,5.00E-07,1.00E+00,2.50E+02,1.00E-06,3.00E-07,1.00E-06,2.00E-01
117.5,0.95,0.25,250,1,1,100,1.00E-06,3.00E-06,0.8,200,5.00E-07,1.00E+00,2.50E+02,1.00E-06,3.00E-07,1.00E-06,2.00E-01
117,0.95,0.25,250,1,1,100,1.00E-06,3.00E-06,0.8,200,5.00E-07,1.00E+00,2.50E+02,1.00E-06,3.00E-07,1.00E-06,2.00E-01
116.5,0.95,0.25,250,1,1,100,1.00E-06,3.00E-06,0.8,200,5.00E-07,1.00E+00,2.50E+02,1.00E-06,3.00E-07,1.00E-06,2.00E-01
116,0.95,0.25,250,1,1,100,1.00E-06,3.00E-06,0.8,200,5.00E-07,1.00E+00,2.50E+02,1.00E-06,3.00E-07,1.00E-06,2.00E-01
